Ref,Status,Design ,Type ,Mode,Year,Outstanding Benefits-RiskScore,Membership,Net Assets,ExpensesToAssets_ratio,LiquidityRatio,OverallRiskScore,ReturnOnInvestment,UnremmittedContributionsToAssetsRatio,ComplianceToTable G,Inflation,CBKrate,Exchange_rate
10,Active,Defined Benefit,Pension Scheme,Segregated funds,2024,1,120," 1,084,560,803.00 ",0.82%,31%,3.26,20%,0%,1,5%,11%,134.8
10,Active,Defined Benefit,Pension Scheme,Segregated funds,2023,1,191," 941,487,657.00 ",0.85%,100%,3.34,6%,0%,1,7%,13%,151.77
10,Active,Defined Benefit,Pension Scheme,Segregated funds,2022,5,122," 947,752,355.00 ",0.97%,158%,4.14,3%,0%,1,9%,9%,121.95
10,Active,Defined Benefit,Pension Scheme,Segregated funds,2021,1,125," 967,736,377.00 ",0.81%,22%,3.58,9%,0%,1,6%,7%,111.93
10,Active,Defined Benefit,Pension Scheme,Segregated funds,2020,0,128," 808,935,546.00 ",1.15%,29%,0,5%,0%,0,5%,7%,109.51
10,Active,Defined Benefit,Pension Scheme,Segregated funds,2019,0,129," 697,358,779.00 ",1.29%,40%,0,13%,0%,0,5%,9%,102.55
10,Active,Defined Benefit,Pension Scheme,Segregated funds,2018,0,128," 642,856,568.00 ",1.04%,146%,0,5%,0%,0,6%,9%,101.88
10,Active,Defined Benefit,Pension Scheme,Segregated funds,2017,0,127," 657,087,247.00 ",1.12%,32%,0,13%,0%,0,5%,10%,103.37
10,Active,Defined Benefit,Pension Scheme,Segregated funds,2016,0,117," 598,963,704.00 ",1.37%,147%,0,3%,0%,0,7%,10%,101.78
10,Active,Defined Benefit,Pension Scheme,Segregated funds,2015,0,129," 607,422,366.00 ",0.99%,57%,0,4%,0%,0,7%,13%,103.78
10,Active,Defined Benefit,Pension Scheme,Segregated funds,2014,0,127," 580,381,137.00 ",1.87%,31%,0,11%,0%,0,7%,10%,101.78
100,Active,Hybrid Scheme,Pension Scheme,Segregated funds,2024,5,5551," 15,885,481,182.00 ",1.34%,27%,3.98,12%,30%,5,5%,11%,134.8
100,Active,Hybrid Scheme,Pension Scheme,Segregated funds,2023,5,5425," 13,973,410,376.18 ",1.31%,50%,4.19,4%,30%,5,7%,13%,151.77
100,Active,Hybrid Scheme,Pension Scheme,Segregated funds,2022,5,5609," 13,402,325,355.00 ",1.18%,44%,4.09,3%,27%,5,9%,9%,121.95
100,Active,Hybrid Scheme,Pension Scheme,Segregated funds,2021,5,5704," 12,690,985,503.00 ",1.27%,36%,4.31,5%,25%,5,6%,7%,111.93
