Ref,Status,Design ,Type ,Mode,2024_Outstanding Benefits-RiskScore,2024_Membership, 2024_Total Net Assets , 2024_ExpensesToTotalAssets Ratio ,2024_Liquidity Ratio,2024_Overall Risk Score,2024_ReturnOn Investment,2024_UnremmittedContributions/Total Assets,2024_Compliance toTable G,2024_Inflation,2024_interest_rates,2024_exchange_rates,2023_Outstanding Benefits-RiskScore,2023_Membership,2023_Total Net Assets,2023_ExpensesTo TotalAssets Ratio,2023_Liquidity Ratio,2023_Overall Risk Score,2023_ReturnOn Investment,2023_UnremmittedContributions/Total Assets,2023_Compliance toTable G,2023_Inflation,2023_interest_rates,2023_exchange_rates,2022_Outstanding Benefits-RiskScore,2022_Membership,2022_Total Net Assets,2022_ExpensesTo TotalAssets Ratio,2022_Liquidity Ratio,2022_Overall Risk Score,2022_ReturnOn Investment,2022_UnremmittedContributions/Total Assets,2022_Compliance toTable G,2022_Inflation,2022_interest_rates,2022_exchange_rates,2021_Outstanding Benefits-RiskScore,2021_Membership,2021_Total Net Assets,2021_ExpensesTo TotalAssets Ratio,2021_Liquidity Ratio,2021_Overall Risk Score,2021_ReturnOn Investment,2021_UnremmittedContributions/Total Assets,2021_Compliance toTable G,2021_Inflation,2021_interest_rates,2021_exchange_rates,2020_Membership,2020_Total Net Assets,2020_ExpensesTo TotalAssets Ratio,2020_Liquidity Ratio,2020_ReturnOn Investment,2020_UnremmittedContributions/Total Assets,2020_Inflation,2020_interest_rates,2020_exchange_rates,2019_Membership,2019_Total Net Assets,2019_ExpensesTo TotalAssets Ratio,2019_Liquidity Ratio,2019_ReturnOn Investment,2019_UnremmittedContributions/Total Assets,2019_Inflation,2019_interest_rates,2019_exchange_rates,2018_Membership,2018_Total Net Assets,2018_ExpensesTo TotalAssets Ratio,2018_Liquidity Ratio,2018_ReturnOn Investment,2018_UnremmittedContributions/Total Assets,2018_Inflation,2018_interest_rates,2018_exchange_rates,2017_Membership,2017_Total Net Assets,2017_ExpensesTo TotalAssets Ratio,2017_Liquidity Ratio,2017_ReturnOn Investment,2017_UnremmittedContributions/Total Assets,2017_Inflation,2017_interest_rates,2017_exchange_rates,2016_Membership,2016_Total Net Assets,2016_ExpensesTo TotalAssets Ratio,2016_Liquidity Ratio,2016_ReturnOn Investment,2016_UnremmittedContributions/Total Assets,2016_Inflation,2016_interest_rates,2016_exchange_rates,2015_Membership,2015_Total Net Assets,2015_ExpensesTo TotalAssets Ratio,2015_Liquidity Ratio,2015_ReturnOn Investment,2015_UnremmittedContributions/Total Assets,2015_Inflation,2015_interest_rates,2015_exchange_rates,2014_Membership,2014_Total Net Assets,2014_ExpensesTo TotalAssets Ratio,2014_Liquidity Ratio,2014_ReturnOn Investment,2014_UnremmittedContributions/Total Assets,2014_Inflation,2014_interest_rates,2014_exchange_rates
10,Active,Defined Benefit,Pension Scheme,Segregated funds,1,120," 1,084,560,803 ", 0.01 ,31.35%,326%,0.195487912,0%,1,4.50%,11%,134.80,1,191,941487657,0.85%,100%,3.34,5.79%,0%,1,7%,12.50%,151.77,5,122,947752355,1%,158%,4.14,3.06%,0%,1,9.00%,8.80%,121.95,1,125,967736377,0.81%,21.72%,3.58,8.87%,0.00%,1,6.00%,7.00%,111.93,128,808935546,1.15%,28.50%,4.83%,0.00%,5.00%,7.00%,109.51,129,697358779,1.29%,39.62%,12.94%,0.00%,5.00%,8.50%,102.55,128,642856568,1.04%,146.02%,4.81%,0.00%,6.00%,9.00%,101.88,127,657087247,1.12%,32.33%,13.09%,0.00%,5.00%,10.00%,103.37,117,598963704,1.37%,146.90%,3.01%,0.00%,7%,10%,101.78,129,607422366,0.99%,57.10%,3.56%,0.00%,7%,13%,103.78,127,580381137,1.87%,30.81%,11.47%,0.00%,7%,10%,101.78
100,Active,Hybrid Scheme,Pension Scheme,Segregated funds,5,5551," 15,885,481,182 ", 0.01 ,26.88%,398%,0.116850509,30%,5,4.50%,11%,134.80,5,5425,13973410376,1.31%,50%,4.19,3.87%,30%,5,7%,12.50%,151.77,5,5609,13402325355,1%,44%,4.09,2.54%,27%,5,9.00%,8.80%,121.95,5,5704,12690985503,1.27%,35.61%,4.31,4.59%,24.95%,5,6.00%,7.00%,111.93,5513,11794450029,1.15%,34.26%,2.69%,19.63%,5.00%,7.00%,109.51,5488,11037531989,1.20%,28.95%,5.94%,15.49%,5.00%,8.50%,102.55,6485,9999829975,1.13%,24.46%,5.07%,10.33%,6.00%,9.00%,101.88,5693,9009381267,1.08%,19.19%,9.87%,0.00%,5.00%,10.00%,103.37,4670,7666057472,1.22%,25.29%,4.48%,0.00%,7%,10%,101.78,,,,,,,,,,,,,,,,,,
1004,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,491," 3,912,529 ", 0.01 ,157.69%,400%,0.096522227,29%,1,4.50%,11%,134.80,1,15,4107411,0.83%,190%,3.24,7.73%,0%,5,7%,12.50%,151.77,1,15,4392780,1%,11%,3.44,4.66%,0%,5,9.00%,8.80%,121.95,1,15,3202266,0.92%,13.69%,3.44,8.58%,0.00%,5,6.00%,7.00%,111.93,15,2965001,0.97%,941.20%,10.49%,0.00%,5.00%,7.00%,109.51,18,5591180,1.07%,110.34%,9.80%,0.00%,5.00%,8.50%,102.55,18,5727610,0.44%,43.11%,8.01%,0.00%,6.00%,9.00%,101.88,,,,,,,,,,34000,27926110420,6.11%,41.35%,7.20%,0.00%,7%,10%,101.78,,,,,,,,,,16,3380503,0.79%,92.10%,10.21%,0.00%,7%,10%,101.78
1007,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,15," 51,704,377 ", 0.01 ,10.07%,232%,0.019118323,0%,1,4.50%,11%,134.80,1,16,48304348,0.29%,9%,2.45,1.92%,0%,5,7%,12.50%,151.77,1,15,44961121,0%,18%,2.53,7.40%,0%,5,9.00%,8.80%,121.95,1,0,40266457,0.47%,35.86%,2.72,6.69%,0.00%,5,6.00%,7.00%,111.93,0,37258704,0.52%,54.39%,5.82%,0.00%,5.00%,7.00%,109.51,18,35190984,0.53%,24.22%,8.20%,0.00%,5.00%,8.50%,102.55,18,30977081,0.55%,5.53%,3.75%,0.00%,6.00%,9.00%,101.88,0,27351245,0.58%,4.97%,10.09%,0.69%,5.00%,10.00%,103.37,16,22562534,0.55%,42.24%,5.71%,2.00%,7%,10%,101.78,0,0,0.00%,0.00%,0.00%,0.00%,7%,13%,103.78,0,18225700,0.60%,4.53%,10.34%,0.00%,7%,10%,101.78
1012,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,416," 340,849,211 ", 0.00 ,55.74%,282%,0.098659668,10%,1,4.50%,11%,134.80,1,435,311493992,0.26%,13%,2.56,8.27%,3%,5,7%,12.50%,151.77,1,139,258529179,0%,55%,2.56,6.00%,0%,5,9.00%,8.80%,121.95,1,455,239618121,0.25%,18.32%,3.44,8.05%,0.00%,5,6.00%,7.00%,111.93,507,201495900,0.25%,30.10%,7.04%,1.07%,5.00%,7.00%,109.51,253,176332104,0.31%,134.66%,10.04%,0.00%,5.00%,8.50%,102.55,437,187019595,0.29%,58.58%,8.37%,0.00%,6.00%,9.00%,101.88,446,174305007,0.40%,21.91%,8.83%,0.00%,5.00%,10.00%,103.37,0,150679513,0.31%,29.99%,7.86%,0.00%,7%,10%,101.78,437,132026821,0.29%,14.02%,7.26%,0.00%,7%,13%,103.78,449,111310635,0.35%,5.62%,10.02%,0.00%,7%,10%,101.78
1013,Active,Defined Contribution,Pension Scheme,Segregated funds,1,584," 867,649,420 ", 0.02 ,20.83%,315%,0.221525407,0%,1,4.50%,11%,134.80,1,588,675121213,1.70%,53%,3.1,3.18%,0%,1,7%,12.50%,151.77,1,578,643601650,2%,105%,3.1,1.64%,0%,1,9.00%,8.80%,121.95,1,551,646280989,1.76%,76.66%,3.58,10.51%,0.00%,1,6.00%,7.00%,111.93,584,620886830,1.55%,72.08%,8.14%,0.00%,5.00%,7.00%,109.51,598,595057955,1.28%,21.34%,13.87%,0.00%,5.00%,8.50%,102.55,612,500612853,1.37%,68.49%,6.23%,0.00%,6.00%,9.00%,101.88,635,479823063,1.25%,126.40%,15.60%,0.00%,5.00%,10.00%,103.37,640,510292401,1.41%,215.30%,9.05%,0.00%,7%,10%,101.78,680,630882386,1.21%,183.05%,0.79%,0.00%,7%,13%,103.78,489,686810166,1.07%,32.77%,13.60%,0.00%,7%,10%,101.78
1014,Active,Defined Contribution,Pension Scheme,Segregated funds,1,2010," 694,153,486 ", 0.01 ,28.74%,391%,0.179111389,1%,5,4.50%,11%,134.80,1,1837,583062228,1.16%,87%,3.21,8.27%,1%,1,7%,12.50%,151.77,1,1785,573477381,1%,90%,3.91,8.10%,1%,1,9.00%,8.80%,121.95,1,1723,566591843,1.01%,75.72%,4.08,10.62%,0.99%,1,6.00%,7.00%,111.93,1840,551164511,1.31%,138.84%,7.98%,1.16%,5.00%,7.00%,109.51,1914,579528421,1.04%,141.72%,12.75%,1.10%,5.00%,8.50%,102.55,1865,623142993,1.90%,324.63%,13.60%,0.00%,6.00%,9.00%,101.88,1059,1068539860,1.04%,39.14%,13.65%,0.00%,5.00%,10.00%,103.37,1173,878809695,1.06%,56.42%,6.66%,0.00%,7%,10%,101.78,1095,762482076,0.96%,15.03%,6.36%,0.00%,7%,13%,103.78,995,540477365,0.69%,8.80%,11.19%,0.00%,7%,10%,101.78
1016,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,95," 182,343,230 ", 0.00 ,37.26%,294%,0.10669403,0%,1,4.50%,11%,134.80,1,96,155095119,0.46%,23%,2.48,9.56%,0%,5,7%,12.50%,151.77,1,204,129062664,1%,88%,2.38,8.67%,0%,5,9.00%,8.80%,121.95,1,119,125773057,0.59%,32.33%,2.66,8.90%,0.00%,5,6.00%,7.00%,111.93,105,107971728,-0.29%,50.78%,6.53%,0.00%,5.00%,7.00%,109.51,100,98219118,0.06%,76.05%,8.28%,0.00%,5.00%,8.50%,102.55,102,93594546,0.30%,51.78%,9.00%,0.00%,6.00%,9.00%,101.88,100,84296352,0.00%,54.19%,13.15%,0.00%,5.00%,10.00%,103.37,90,76102434,0.00%,64.15%,10.21%,1.51%,7%,10%,101.78,101,69947867,0.63%,29.43%,10.24%,0.00%,7%,13%,103.78,107,55361736,0.45%,70.50%,14.13%,0.00%,7%,10%,101.78
1019,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,94," 338,755,343 ", 0.01 ,18.54%,224%,0.105270148,0%,1,4.50%,11%,134.80,1,68,290357575,0.48%,32%,2.44,8.95%,0%,5,7%,12.50%,151.77,1,66,257758033,1%,100%,2.84,6.54%,0%,5,9.00%,8.80%,121.95,1,68,257758174,0.61%,63.00%,2.72,8.52%,0.00%,5,6.00%,7.00%,111.93,73,244850271,0.58%,178.40%,8.10%,0.00%,5.00%,7.00%,109.51,75,270638308,0.54%,78.12%,9.74%,0.00%,5.00%,8.50%,102.55,71,261716081,0.57%,73.24%,8.46%,0.00%,6.00%,9.00%,101.88,68,252699680,0.50%,15.70%,8.97%,0.00%,5.00%,10.00%,103.37,69,222857085,0.54%,32.23%,8.21%,0.00%,7%,10%,101.78,71,201335716,0.62%,15.43%,7.40%,0.00%,7%,13%,103.78,,,,,,,,,
1020,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,155," 129,086,902 ", 0.00 ,6.34%,224%,0.102692704,0%,1,4.50%,11%,134.80,1,151,106017457,0.34%,27%,2.29,9.16%,0%,5,7%,12.50%,151.77,1,140,91009415,0%,4%,2.29,8.14%,0%,5,9.00%,8.80%,121.95,1,122,73709223,0.39%,12.72%,2.67,8.72%,0.00%,5,6.00%,7.00%,111.93,82,59913005,0.39%,-51.88%,7.23%,0.00%,5.00%,7.00%,109.51,106,50930706,0.27%,4.86%,8.16%,0.00%,5.00%,8.50%,102.55,91,40037487,0.34%,21.98%,3.39%,0.00%,6.00%,9.00%,101.88,,,,,,,,,,58,27851032,0.57%,42.79%,3.18%,1.25%,7%,10%,101.78,0,24930830,0.52%,5.39%,1.79%,0.00%,7%,13%,103.78,0,20610556,1.03%,5.36%,6.39%,0.00%,7%,10%,101.78
