Ref,Status,Design ,Type ,Mode,2024_Outstanding Benefits-RiskScore,2024_Membership, 2024_Total Net Assets ,2024_ExpensesTo TotalAssets Ratio,2024_OUTFLOW/INFLOW - Liquidity Ratio,2024_Overall Risk Score,2024_ReturnOn Investment,2024_UnremmittedContributions/Total Assets,2024_Compliance toTable G,2024_Inflation,2024_interest_rates,2024_exchange_rates,2023_Outstanding Benefits-RiskScore,2023_Membership,2023_Total Net Assets,2023_ExpensesTo TotalAssets Ratio,2023_OUTFLOW/INFLOW - Liquidity Ratio,2023_Overall Risk Score,2023_ReturnOn Investment,2023_UnremmittedContributions/Total Assets,2023_Compliance toTable G,2023_Inflation,2023_interest_rates,2023_exchange_rates,2022_Outstanding Benefits-RiskScore,2022_Membership,2022_Total Net Assets,2022_ExpensesTo TotalAssets Ratio,2022_OUTFLOW/INFLOW - Liquidity Ratio,2022_Overall Risk Score,2022_ReturnOn Investment,2022_UnremmittedContributions/Total Assets,2022_Compliance toTable G,2022_Inflation,2022_interest_rates,2022_exchange_rates,2021_Outstanding Benefits-RiskScore,2021_Membership,2021_Total Net Assets,2021_ExpensesTo TotalAssets Ratio,2021_OUTFLOW/INFLOW - Liquidity Ratio,2021_Overall Risk Score,2021_ReturnOn Investment,2021_UnremmittedContributions/Total Assets,2021_Compliance toTable G,2021_Inflation,2021_interest_rates,2021_exchange_rates,2020_Outstanding Benefits-RiskScore,2020_Membership,2020_Total Net Assets,2020_ExpensesTo TotalAssets Ratio,2020_OUTFLOW/INFLOW - Liquidity Ratio,2020_Overall Risk Score,2020_ReturnOn Investment,2020_UnremmittedContributions/Total Assets,2020_Compliance toTable G,2020_Inflation,2020_interest_rates,2020_exchange_rates,2019_Outstanding Benefits-RiskScore,2019_Membership,2019_Total Net Assets,2019_ExpensesTo TotalAssets Ratio,2019_OUTFLOW/INFLOW - Liquidity Ratio,2019_Overall Risk Score,2019_ReturnOn Investment,2019_UnremmittedContributions/Total Assets,2019_Compliance toTable G,2019_Inflation,2019_interest_rates,2019_exchange_rates,2018_Outstanding Benefits-RiskScore,2018_Membership,2018_Total Net Assets,2018_ExpensesTo TotalAssets Ratio,2018_OUTFLOW/INFLOW - Liquidity Ratio,2018_Overall Risk Score,2018_ReturnOn Investment,2018_UnremmittedContributions/Total Assets,2018_Compliance toTable G,2018_Inflation,2018_interest_rates,2018_exchange_rates,2017_Outstanding Benefits-RiskScore,2017_Membership,2017_Total Net Assets,2017_ExpensesTo TotalAssets Ratio,2017_OUTFLOW/INFLOW - Liquidity Ratio,2017_Overall Risk Score,2017_ReturnOn Investment,2017_UnremmittedContributions/Total Assets,2017_Compliance toTable G,2017_Inflation,2017_interest_rates,2017_exchange_rates,2016_Outstanding Benefits-RiskScore,2016_Membership,2016_Total Net Assets,2016_ExpensesTo TotalAssets Ratio,2016_OUTFLOW/INFLOW - Liquidity Ratio,2016_Overall Risk Score,2016_ReturnOn Investment,2016_UnremmittedContributions/Total Assets,2016_Compliance toTable G,2016_Inflation,2016_interest_rates,2016_exchange_rates,2015_Outstanding Benefits-RiskScore,2015_Membership,2015_Total Net Assets,2015_ExpensesTo TotalAssets Ratio,2015_OUTFLOW/INFLOW - Liquidity Ratio,2015_Overall Risk Score,2015_ReturnOn Investment,2015_UnremmittedContributions/Total Assets,2015_Compliance toTable G,2015_Inflation,2015_interest_rates,2015_exchange_rates,2014_Outstanding Benefits-RiskScore,2014_Membership,2014_Total Net Assets,2014_ExpensesTo TotalAssets Ratio,2014_OUTFLOW/INFLOW - Liquidity Ratio,2014_Overall Risk Score,2014_ReturnOn Investment,2014_UnremmittedContributions/Total Assets,2014_Compliance toTable G,2014_Inflation,2014_interest_rates,2014_exchange_rates
10,Active,Defined Benefit,Pension Scheme,Segregated funds,1,120," 1,084,560,803.00 ",0.82%,319%,3.26,20%,0%,1,5%,11%,134.8,1,191," 941,487,657.00 ",0.85%,100%,3.34,6%,0%,1,7%,13%,151.77,5,122," 947,752,355.00 ",0.97%,63%,4.14,3%,0%,1,9%,9%,121.95,1,125," 967,736,377.00 ",0.81%,461%,3.58,9%,0%,1,6%,7%,111.93,0,128," 808,935,546.00 ",1.15%,351%,0,5%,0%,0,5%,7%,109.51,0,129," 697,358,779.00 ",1.29%,252%,0,13%,0%,0,5%,9%,102.55,0,128," 642,856,568.00 ",1.04%,68%,0,5%,0%,0,6%,9%,101.88,0,127," 657,087,247.00 ",1.12%,309%,0,13%,0%,0,5%,10%,103.37,0,117," 598,963,704.00 ",1.37%,68%,0,3%,0%,0,7%,10%,101.78,0,129," 607,422,366.00 ",0.99%,175%,0,4%,0%,0,7%,13%,103.78,0,127," 580,381,137.00 ",1.87%,325%,0,11%,0%,0,7%,10%,101.78
100,Active,Hybrid Scheme,Pension Scheme,Segregated funds,5,5551," 15,885,481,182.00 ",1.34%,372%,3.98,12%,30%,5,5%,11%,134.8,5,5425," 13,973,410,376.18 ",1.31%,200%,4.19,4%,30%,5,7%,13%,151.77,5,5609," 13,402,325,355.00 ",1.18%,229%,4.09,3%,27%,5,9%,9%,121.95,5,5704," 12,690,985,503.00 ",1.27%,281%,4.31,5%,25%,5,6%,7%,111.93,0,5513," 11,794,450,029.00 ",1.15%,292%,0,3%,20%,0,5%,7%,109.51,0,5488," 11,037,531,989.00 ",1.20%,345%,0,6%,15%,0,5%,9%,102.55,0,6485," 9,999,829,975.00 ",1.13%,409%,0,5%,10%,0,6%,9%,101.88,0,5693," 9,009,381,267.00 ",1.08%,521%,0,10%,0%,0,5%,10%,103.37,0,4670," 7,666,057,472.00 ",1.22%,395%,0,4%,0%,0,7%,10%,101.78,,,,,,,,,,,,,,,,,,,,,,,,
1004,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,491," 3,912,528.85 ",0.87%,63%,4,10%,29%,1,5%,11%,134.8,1,15," 4,107,411.00 ",0.83%,53%,3.24,8%,0%,5,7%,13%,151.77,1,15," 4,392,780.00 ",0.79%,909%,3.44,5%,0%,5,9%,9%,121.95,1,15," 3,202,266.00 ",0.92%,731%,3.44,9%,0%,5,6%,7%,111.93,0,15," 2,965,001.00 ",0.97%,11%,0,10%,0%,0,5%,7%,109.51,0,18," 5,591,180.00 ",1.07%,91%,0,10%,0%,0,5%,9%,102.55,0,18," 5,727,610.00 ",0.44%,232%,0,8%,0%,0,6%,9%,101.88,,,,,,,,,,,,,0,34000," 27,926,110,420.41 ",6.11%,242%,0,7%,0%,0,7%,10%,101.78,,,,,,,,,,,,,0,16," 3,380,503.00 ",0.79%,109%,0,10%,0%,0,7%,10%,101.78
1007,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,15," 51,704,377.00 ",0.64%,993%,2.32,2%,0%,1,5%,11%,134.8,1,16," 48,304,348.00 ",0.29%,1118%,2.45,2%,0%,5,7%,13%,151.77,1,15," 44,961,121.00 ",0.47%,545%,2.53,7%,0%,5,9%,9%,121.95,1,0," 40,266,457.00 ",0.47%,279%,2.72,7%,0%,5,6%,7%,111.93,0,0," 37,258,704.00 ",0.52%,184%,0,6%,0%,0,5%,7%,109.51,0,18," 35,190,984.00 ",0.53%,413%,0,8%,0%,0,5%,9%,102.55,0,18," 30,977,081.00 ",0.55%,1808%,0,4%,0%,0,6%,9%,101.88,0,0," 27,351,245.00 ",0.58%,2013%,0,10%,1%,0,5%,10%,103.37,0,16," 22,562,534.00 ",0.55%,237%,0,6%,2%,0,7%,10%,101.78,0,0, -   ,0.00%,0%,0,0%,0%,0,7%,13%,103.78,0,0," 18,225,700.00 ",0.60%,2209%,0,10%,0%,0,7%,10%,101.78
1012,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,416," 340,849,211.00 ",0.25%,179%,2.82,10%,10%,1,5%,11%,134.8,1,435," 311,493,992.00 ",0.26%,788%,2.56,8%,3%,5,7%,13%,151.77,1,139," 258,529,179.00 ",0.35%,182%,2.56,6%,0%,5,9%,9%,121.95,1,455," 239,618,121.00 ",0.25%,546%,3.44,8%,0%,5,6%,7%,111.93,0,507," 201,495,900.00 ",0.25%,332%,0,7%,1%,0,5%,7%,109.51,0,253," 176,332,104.00 ",0.31%,74%,0,10%,0%,0,5%,9%,102.55,0,437," 187,019,595.00 ",0.29%,171%,0,8%,0%,0,6%,9%,101.88,0,446," 174,305,007.00 ",0.40%,456%,0,9%,0%,0,5%,10%,103.37,0,0," 150,679,513.00 ",0.31%,333%,0,8%,0%,0,7%,10%,101.78,0,437," 132,026,821.00 ",0.29%,713%,0,7%,0%,0,7%,13%,103.78,0,449," 111,310,635.00 ",0.35%,1781%,0,10%,0%,0,7%,10%,101.78
1013,Active,Defined Contribution,Pension Scheme,Segregated funds,1,584," 867,649,420.00 ",1.50%,480%,3.15,22%,0%,1,5%,11%,134.8,1,588," 675,121,213.00 ",1.70%,188%,3.1,3%,0%,1,7%,13%,151.77,1,578," 643,601,650.00 ",1.57%,95%,3.1,2%,0%,1,9%,9%,121.95,1,551," 646,280,989.00 ",1.76%,130%,3.58,11%,0%,1,6%,7%,111.93,0,584," 620,886,830.00 ",1.55%,139%,0,8%,0%,0,5%,7%,109.51,0,598," 595,057,955.00 ",1.28%,469%,0,14%,0%,0,5%,9%,102.55,0,612," 500,612,853.00 ",1.37%,146%,0,6%,0%,0,6%,9%,101.88,0,635," 479,823,063.00 ",1.25%,79%,0,16%,0%,0,5%,10%,103.37,0,640," 510,292,401.00 ",1.41%,46%,0,9%,0%,0,7%,10%,101.78,0,680," 630,882,386.00 ",1.21%,55%,0,1%,0%,0,7%,13%,103.78,0,489," 686,810,166.00 ",1.07%,305%,0,14%,0%,0,7%,10%,101.78
1014,Active,Defined Contribution,Pension Scheme,Segregated funds,1,2010," 694,153,486.00 ",1.07%,348%,3.91,18%,1%,5,5%,11%,134.8,1,1837," 583,062,228.00 ",1.16%,115%,3.21,8%,1%,1,7%,13%,151.77,1,1785," 573,477,381.00 ",0.88%,111%,3.91,8%,1%,1,9%,9%,121.95,1,1723," 566,591,843.00 ",1.01%,132%,4.08,11%,1%,1,6%,7%,111.93,0,1840," 551,164,511.00 ",1.31%,72%,0,8%,1%,0,5%,7%,109.51,0,1914," 579,528,421.00 ",1.04%,71%,0,13%,1%,0,5%,9%,102.55,0,1865," 623,142,993.00 ",1.90%,31%,0,14%,0%,0,6%,9%,101.88,0,1059," 1,068,539,860.00 ",1.04%,256%,0,14%,0%,0,5%,10%,103.37,0,1173," 878,809,695.00 ",1.06%,177%,0,7%,0%,0,7%,10%,101.78,0,1095," 762,482,076.00 ",0.96%,665%,0,6%,0%,0,7%,13%,103.78,0,995," 540,477,365.00 ",0.69%,1137%,0,11%,0%,0,7%,10%,101.78
1016,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,95," 182,343,230.00 ",0.46%,268%,2.94,11%,0%,1,5%,11%,134.8,1,96," 155,095,119.00 ",0.46%,432%,2.48,10%,0%,5,7%,13%,151.77,1,204," 129,062,664.00 ",0.82%,114%,2.38,9%,0%,5,9%,9%,121.95,1,119," 125,773,057.00 ",0.59%,309%,2.66,9%,0%,5,6%,7%,111.93,0,105," 107,971,728.00 ",0.29%,186%,0,7%,0%,0,5%,7%,109.51,0,100," 98,219,118.00 ",0.06%,132%,0,8%,0%,0,5%,9%,102.55,0,102," 93,594,546.00 ",0.30%,193%,0,9%,0%,0,6%,9%,101.88,0,100," 84,296,352.00 ",0.00%,185%,0,13%,0%,0,5%,10%,103.37,0,90," 76,102,434.00 ",0.00%,156%,0,10%,2%,0,7%,10%,101.78,0,101," 69,947,867.00 ",0.63%,340%,0,10%,0%,0,7%,13%,103.78,0,107," 55,361,736.00 ",0.45%,142%,0,14%,0%,0,7%,10%,101.78
1019,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,94," 338,755,343.00 ",0.52%,539%,2.24,11%,0%,1,5%,11%,134.8,1,68," 290,357,575.00 ",0.48%,309%,2.44,9%,0%,5,7%,13%,151.77,1,66," 257,758,033.00 ",0.52%,100%,2.84,7%,0%,5,9%,9%,121.95,1,68," 257,758,174.00 ",0.61%,159%,2.72,9%,0%,5,6%,7%,111.93,0,73," 244,850,271.00 ",0.58%,56%,0,8%,0%,0,5%,7%,109.51,0,75," 270,638,308.00 ",0.54%,128%,0,10%,0%,0,5%,9%,102.55,0,71," 261,716,081.00 ",0.57%,137%,0,8%,0%,0,6%,9%,101.88,0,68," 252,699,680.00 ",0.50%,637%,0,9%,0%,0,5%,10%,103.37,0,69," 222,857,085.00 ",0.54%,310%,0,8%,0%,0,7%,10%,101.78,0,71," 201,335,716.00 ",0.62%,648%,0,7%,0%,0,7%,13%,103.78,,,,,,,,,,,,
1020,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,155," 129,086,902.00 ",0.31%,1578%,2.24,10%,0%,1,5%,11%,134.8,1,151," 106,017,457.00 ",0.34%,375%,2.29,9%,0%,5,7%,13%,151.77,1,140," 91,009,415.00 ",0.36%,2288%,2.29,8%,0%,5,9%,9%,121.95,1,122," 73,709,223.00 ",0.39%,786%,2.67,9%,0%,5,6%,7%,111.93,0,82," 59,913,005.00 ",0.39%,172%,0,7%,0%,0,5%,7%,109.51,0,106," 50,930,706.00 ",0.27%,2059%,0,8%,0%,0,5%,9%,102.55,0,91," 40,037,487.00 ",0.34%,455%,0,3%,0%,0,6%,9%,101.88,,,,,,,,,,,,,0,58," 27,851,032.00 ",0.57%,234%,0,3%,1%,0,7%,10%,101.78,0,0," 24,930,830.00 ",0.52%,1854%,0,2%,0%,0,7%,13%,103.78,0,0," 20,610,556.00 ",1.03%,1864%,0,6%,0%,0,7%,10%,101.78
